Localidade,Católica,Espírita/Espiritualista,Evangelica_Missionaria,Evangelica_Outras,Evangelica_Pentecostal,Outras religiões,Religiões Matriz Africana,Religiões Orientais,Sem religião / não sabe,Tradições indígenas
Afonso Cunha,5378,0,57,20,405,0,6,0,41,0
Alcântara,12738,0,284,147,3819,76,0,155,4634,0
Aldeias Altas,19895,37,332,18,1697,20,0,0,1954,0
Altamira do Maranhão,8816,0,174,422,1229,0,10,0,417,0
Alto Alegre do Maranhão,18690,23,846,133,2633,169,57,0,2077,0
Alto Alegre do Pindaré,26250,0,920,39,2822,87,0,0,939,0
Alto Parnaíba,9497,0,304,127,642,72,0,0,115,7
Amapá do Maranhão,4838,0,220,0,1068,7,0,0,298,0
Amarante do Maranhão,24420,11,1400,504,7910,59,0,0,3385,204
Anajatuba,20046,0,942,190,1680,63,0,0,2369,0
Anapurus,11643,0,577,0,1232,61,0,0,426,0
Apicum-Açu,10723,0,235,464,2073,0,0,0,1463,0
Araguanã,10241,0,405,210,2470,0,62,6,252,358
Araioses,36944,50,396,94,2510,142,0,0,2370,0
Arame,23746,0,181,647,5290,0,0,0,1838,0
Arari,23127,0,743,94,3474,120,0,0,931,0
Axixá,9343,0,312,214,1194,30,0,0,315,0
Açailândia,63195,267,4789,7704,18507,457,0,43,9086,0
Bacabal,75379,48,5054,1402,11437,466,334,21,6041,0
Bacabeira,10577,6,481,305,1379,81,32,0,2080,0
Bacuri,11848,12,344,56,1950,47,22,8,2328,0
Bacurituba,4971,0,28,0,244,2,0,0,48,0
Balsas,68247,285,1618,1392,7456,410,0,5,4116,0
Barra do Corda,66537,4,1770,2721,8331,159,0,0,3308,0
Barreirinhas,39578,11,5430,113,6019,11,0,0,3769,0
Barão de Grajaú,15282,8,228,72,927,6,0,0,1317,0
Bela Vista do Maranhão,9296,0,247,24,1734,0,36,0,730,0
Belágua,5659,0,106,0,497,20,4,0,239,0
Benedito Leite,5014,3,62,125,257,5,0,0,2,0
Bequimão,15576,11,728,278,1593,11,0,0,2149,0
Bernardo do Mearim,4880,3,347,0,555,4,0,0,206,0
Boa Vista do Gurupi,5317,0,341,388,1533,12,0,0,357,0
Bom Jardim,30091,0,1086,447,4684,213,0,0,2529,0
Bom Jesus das Selvas,18328,11,1070,530,4482,146,288,0,3747,2
Bom Lugar,13398,0,61,41,1094,17,0,0,208,0
Brejo,30436,9,515,73,1591,12,0,0,721,0
Brejo de Areia,4867,0,24,8,574,0,0,0,104,0
Buriti,25249,0,86,0,865,21,0,0,792,0
Buriti Bravo,20776,9,674,258,703,60,18,0,410,0
Buriticupu,43404,0,2436,1011,13543,63,0,0,4780,0
Buritirana,9627,0,656,74,3379,12,0,0,1035,0
